,corporate_number,name,subsidy_title,amount,date_of_approval
5353,3370001040014,株式会社グリーンライズ,農業経営安定事業収入減少影響緩和対策交付金,472956,2018-06-14
5352,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,2868000,2018-10-12
5351,3370001040014,株式会社グリーンライズ,水田活用の直接支払交付金,8288000,2018-12-06
5350,3370001040014,株式会社グリーンライズ,水田活用の直接支払交付金,9693700,2019-01-28
5349,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,250830,2019-03-13
5348,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,1704000,2019-10-16
5346,3370001040014,株式会社グリーンライズ,水田活用直接支払交付金,778000,2020-03-17
5345,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,2392895,2020-03-17
5344,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,4462000,2021-10-20
5343,3370001040014,株式会社グリーンライズ,水田活用直接支払交付金,12657648,2021-12-15
5347,3370001040014,株式会社グリーンライズ,水田活用直接支払交付金,16319623,2019-12-17
5341,3370001040014,株式会社グリーンライズ,水田活用直接支払交付金,631510,2022-03-16
5329,3370001040014,株式会社グリーンライズ,水田活用直接支払交付金,18993579,2023-12-13
5342,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,2553610,2021-12-15
5331,3370001040014,株式会社グリーンライズ,畑作物産地形成促進事業,3552000,2023-12-13
5332,3370001040014,株式会社グリーンライズ,コメ新市場開拓等促進事業,4000000,2023-12-13
5333,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,7602000,2023-10-25
5334,3370001040014,株式会社グリーンライズ,農業経営安定事業収入減少影響緩和対策交付金,674541,2023-06-21
5330,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,412365,2023-12-13
5336,3370001040014,株式会社グリーンライズ,水田活用直接支払交付金,1373200,2023-03-15
5337,3370001040014,株式会社グリーンライズ,水田活用直接支払交付金,15409384,2022-12-14
5338,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,6614000,2022-10-26
5339,3370001040014,株式会社グリーンライズ,農業経営安定事業収入減少影響緩和対策交付金,474444,2022-06-23
5340,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,3928650,2022-03-16
5335,3370001040014,株式会社グリーンライズ,畑作物の直接支払交付金,2360455,2023-03-28
5372,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,5480,2019-03-19
5373,3370001040088,株式会社今慶農産,水田活用の直接支払交付金,8639940,2018-12-11
5374,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,1307800,2018-10-12
5375,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,1344000,2018-09-21
5378,3370001040088,株式会社今慶農産,水田活用の直接支払交付金,233320,2018-03-01
5377,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,14185,2018-03-23
5379,3370001040088,株式会社今慶農産,水田活用の直接支払交付金,7214085,2017-12-21
5380,3370001040088,株式会社今慶農産,米の直接支払交付金,2989500,2017-11-30
5371,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,1726400,2019-10-10
5376,3370001040088,株式会社今慶農産,水田活用の直接支払交付金,32300,2018-03-23
5369,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,734920,2020-03-19
5370,3370001040088,株式会社今慶農産,水田活用直接支払交付金,10075660,2019-12-12
5367,3370001040088,株式会社今慶農産,水田活用直接支払交付金,9905150,2021-12-13
5368,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,5123400,2020-09-18
5366,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,800,2022-03-16
5365,3370001040088,株式会社今慶農産,農業経営安定事業収入減少影響緩和対策交付金,4185718,2022-06-21
5364,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,4535500,2022-09-28
5363,3370001040088,株式会社今慶農産,水田活用直接支払交付金,8647980,2022-12-09
5362,3370001040088,株式会社今慶農産,水田活用直接支払交付金,4889880,2023-03-15
5361,3370001040088,株式会社今慶農産,農業経営安定事業収入減少影響緩和対策交付金,2102337,2023-06-16
5360,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,5436700,2023-09-27
5359,3370001040088,株式会社今慶農産,水田活用直接支払交付金,819000,2023-12-08
5358,3370001040088,株式会社今慶農産,水田活用直接支払交付金,14458720,2024-03-15
5357,3370001040088,株式会社今慶農産,畑作物の直接支払交付金,231770,2024-03-15
5386,3370001040591,株式会社河南ファーム,米の直接支払交付金,503250,2017-12-19
5385,3370001040591,株式会社河南ファーム,水田活用の直接支払交付金,39000,2018-01-24
5384,3370001040591,株式会社河南ファーム,水田活用の直接支払交付金,881600,2018-12-14
5383,3370001040591,株式会社河南ファーム,水田活用の直接支払交付金,115611,2019-03-05
5382,3370001040591,株式会社河南ファーム,水田活用直接支払交付金,1149500,2020-01-17
5381,3370001040591,株式会社河南ファーム,水田活用直接支払交付金,71060,2020-03-17
5387,3370001041251,株式会社鈴木左官,働き方改革推進支援助成金,300000,2021-01-08
5388,3370001041276,宮城こなもん本舗株式会社,平成２９年度小規模事業者支援パッケージ事業費補助金,0,2018-07-19
5405,3370001041441,株式会社スカイウェーブ,水田活用の直接支払交付金,5395500,2017-12-18
5406,3370001041441,株式会社スカイウェーブ,米の直接支払交付金,614250,2017-11-27
5404,3370001041441,株式会社スカイウェーブ,水田活用の直接支払交付金,1177200,2017-12-21
5403,3370001041441,株式会社スカイウェーブ,水田活用の直接支払交付金,1917885,2018-02-08
5402,3370001041441,株式会社スカイウェーブ,水田活用の直接支払交付金,83385,2018-03-23
5401,3370001041441,株式会社スカイウェーブ,水田活用の直接支払交付金,7483900,2018-12-04
5400,3370001041441,株式会社スカイウェーブ,水田活用の直接支払交付金,4640757,2019-01-17
5399,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,7483900,2019-12-05
5398,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,3598421,2020-01-22
5390,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,7479475,2024-01-19
5396,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,4157247,2022-01-19
5395,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,751630,2022-03-16
5394,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,9532400,2022-12-07
5393,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,6783875,2023-02-01
5392,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,403780,2023-03-23
5391,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,9940740,2023-12-13
5389,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,515400,2024-03-15
5397,3370001041441,株式会社スカイウェーブ,水田活用直接支払交付金,8529700,2021-12-13
5414,3370001041912,株式会社今野農業土木,水田活用直接支払交付金,14185183,2022-12-02
5418,3370001041912,株式会社今野農業土木,水田活用の直接支払交付金,4383900,2018-12-06
5417,3370001041912,株式会社今野農業土木,水田活用直接支払交付金,4979239,2019-12-05
5416,3370001041912,株式会社今野農業土木,水田活用直接支払交付金,10852783,2021-12-03
5415,3370001041912,株式会社今野農業土木,水田活用直接支払交付金,648120,2022-03-11
5413,3370001041912,株式会社今野農業土木,水田活用直接支払交付金,340080,2023-03-10
5409,3370001041912,株式会社今野農業土木,水田活用直接支払交付金,1158390,2023-12-13
5411,3370001041912,株式会社今野農業土木,畑作物の直接支払交付金,246833,2023-11-15
5410,3370001041912,株式会社今野農業土木,水田活用直接支払交付金,9190010,2023-12-06
5412,3370001041912,株式会社今野農業土木,畑作物の直接支払交付金,3318000,2023-10-04
5408,3370001041912,株式会社今野農業土木,水田活用直接支払交付金,1512300,2024-03-15
5407,3370001041912,株式会社今野農業土木,畑作物の直接支払交付金,1491060,2024-03-15
5419,3370001042407,株式会社ピステ,働き方改革推進支援助成金,500000,2022-01-28
5426,3370001042794,株式会社大内ファーム,水田活用の直接支払交付金,10230182,2018-12-11
5425,3370001042794,株式会社大内ファーム,水田活用直接支払交付金,11127136,2019-12-17
5424,3370001042794,株式会社大内ファーム,水田活用直接支払交付金,13244530,2021-12-15
5422,3370001042794,株式会社大内ファーム,水田活用直接支払交付金,43000,2023-03-15
5421,3370001042794,株式会社大内ファーム,水田活用直接支払交付金,14444066,2023-12-20
5420,3370001042794,株式会社大内ファーム,水田活用直接支払交付金,418400,2024-03-15
5423,3370001042794,株式会社大内ファーム,水田活用直接支払交付金,12009940,2022-12-16
5427,3370001042860,株式会社達フードサービス,働き方改革推進支援助成金,70000,2020-10-26
5428,3370001042992,株式会社ＧＭ７,農山漁村振興交付金,3950000,2019-08-07
5429,3370001042992,株式会社ＧＭ７,農山漁村振興交付金,7940000,2019-02-01
5433,3370001043124,有機農園ファーミン株式会社,水田活用直接支払交付金,140450,2022-12-14
5432,3370001043124,有機農園ファーミン株式会社,水田活用直接支払交付金,53000,2023-03-15
5434,3370001043124,有機農園ファーミン株式会社,水田活用直接支払交付金,29736,2021-12-15
5430,3370001043124,有機農園ファーミン株式会社,水田活用直接支払交付金,51600,2024-03-15
5431,3370001043124,有機農園ファーミン株式会社,水田活用直接支払交付金,98900,2024-01-19
5435,3370001043140,株式会社石巻フーズ,働き方改革推進支援助成金,337000,2020-10-06
5436,3370001043149,株式会社ファンファクトリー,平成３０年度小規模事業者持続的発展支援事業費補助金,0,2019-07-31
5443,3370001043586,株式会社ＪＡ仙台集落営農ネットワーク,水田活用直接支払交付金,9977500,2021-12-08
5442,3370001043586,株式会社ＪＡ仙台集落営農ネットワーク,畑作物の直接支払交付金,2710500,2022-03-16
5441,3370001043586,株式会社ＪＡ仙台集落営農ネットワーク,畑作物の直接支払交付金,4484000,2022-10-05
5444,3370001043586,株式会社ＪＡ仙台集落営農ネットワーク,畑作物の直接支払交付金,4170000,2021-10-06
5439,3370001043586,株式会社ＪＡ仙台集落営農ネットワーク,畑作物の直接支払交付金,3484000,2023-10-04
5438,3370001043586,株式会社ＪＡ仙台集落営農ネットワーク,水田活用直接支払交付金,7367500,2023-12-06
5437,3370001043586,株式会社ＪＡ仙台集落営農ネットワーク,畑作物の直接支払交付金,705220,2024-03-13
5440,3370001043586,株式会社ＪＡ仙台集落営農ネットワーク,水田活用直接支払交付金,9072980,2022-12-07
5445,3370001044097,株式会社ＨＭＷ,働き方改革推進支援助成金,939000,2022-03-24
5446,3370001044097,株式会社ＨＭＷ,働き方改革推進支援助成金,966000,2022-01-13
5447,3370001044163,株式会社伸和ファーム,水田活用直接支払交付金,874290,2023-12-20
5448,3370001044163,株式会社伸和ファーム,水田活用直接支払交付金,817750,2022-12-16
5449,3370001044163,株式会社伸和ファーム,水田活用直接支払交付金,892304,2021-12-15
5450,3370001044361,株式会社ＧＣ－Ｌａｂ,中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,516000,2021-12-22
5451,3370001044361,株式会社ＧＣ－Ｌａｂ,中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,485000,2021-11-10
5452,3370001045566,ＳＴＵＤＩＯ　ＤＥＳＳＥＲＴ株式会社,働き方改革推進支援助成金,1000000,2021-07-09
5458,3370001045599,株式会社階上生産組合,農業経営安定事業収入減少影響緩和対策交付金,1937877,2022-06-21
5459,3370001045599,株式会社階上生産組合,水田活用直接支払交付金,2578500,2021-12-03
5457,3370001045599,株式会社階上生産組合,畑作物の直接支払交付金,2590000,2022-09-28
5454,3370001045599,株式会社階上生産組合,畑作物の直接支払交付金,724000,2023-09-27
5455,3370001045599,株式会社階上生産組合,水田活用直接支払交付金,187200,2023-03-10
5453,3370001045599,株式会社階上生産組合,水田活用直接支払交付金,738000,2023-12-01
5456,3370001045599,株式会社階上生産組合,水田活用直接支払交付金,3530000,2022-12-02
5460,3370001045649,ジーピー株式会社,中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,600000,2023-08-01
5461,3370001046358,株式会社セレクト,働き方改革推進支援助成金,500000,2021-01-08
5472,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,1909600,2021-12-01
5471,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,1013675,2022-02-16
5470,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,143840,2022-03-16
5469,3370001046647,株式会社さいとう農場,農業経営安定事業収入減少影響緩和対策交付金,1275314,2022-06-21
5468,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,7886925,2022-12-02
5465,3370001046647,株式会社さいとう農場,農業経営安定事業収入減少影響緩和対策交付金,670256,2023-06-16
5466,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,1309260,2023-03-15
5464,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,8611150,2023-12-06
5463,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,373442,2024-02-14
5462,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,305300,2024-03-15
5467,3370001046647,株式会社さいとう農場,水田活用直接支払交付金,1182921,2023-02-15
5477,3370001046655,チバズファーム株式会社,農業経営安定事業収入減少影響緩和対策交付金,9471,2022-06-23
5475,3370001046655,チバズファーム株式会社,農業経営安定事業収入減少影響緩和対策交付金,13687,2023-06-21
5476,3370001046655,チバズファーム株式会社,水田活用直接支払交付金,325500,2022-12-14
5473,3370001046655,チバズファーム株式会社,水田活用直接支払交付金,162400,2024-03-15
5474,3370001046655,チバズファーム株式会社,水田活用直接支払交付金,1612000,2023-12-13
5478,3370001047653,株式会社徹心,働き方改革推進支援助成金,916000,2022-09-08
5479,3370001048783,株式会社ナガサワ,水田活用直接支払交付金,90000,2024-03-13
5480,3370001048783,株式会社ナガサワ,水田活用直接支払交付金,2219836,2023-12-06
5481,3370001048783,株式会社ナガサワ,水田活用直接支払交付金,79040,2023-03-23
5482,3370001048783,株式会社ナガサワ,水田活用直接支払交付金,2377723,2022-12-07
5484,3370001049939,株式会社大輪,水田活用直接支払交付金,3213294,2023-12-13
5485,3370001049939,株式会社大輪,畑作物の直接支払交付金,988000,2023-11-08
5483,3370001049939,株式会社大輪,水田活用直接支払交付金,397100,2024-03-15
5486,3370002006609,株式会社案内,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,200000,2021-07-25
5487,3370002007490,有限会社ササキ創芸,働き方改革推進支援助成金,225000,2020-10-15
5488,3370002008340,有限会社二宮薬局,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,200000,2021-06-23
5489,3370002009826,有限会社ウチダ空調,働き方改革推進支援助成金,470000,2021-10-08
5490,3370002009826,有限会社ウチダ空調,働き方改革推進支援助成金,471000,2021-07-07
5491,3370002012111,有限会社田畑会計事務所,電力需要の低減に資する設備投資支援事業費補助金,2431733,2019-08-30
5492,3370002014198,株式会社ソーシャルライズ,働き方改革推進支援助成金,63000,2022-01-28
5493,3370002014198,株式会社ソーシャルライズ,働き方改革推進支援助成金,187000,2020-12-24
5494,3370002020782,有限会社ＫＹＯＴＡファクトリー,働き方改革推進支援助成金,843000,2023-08-31
5495,3370002020782,有限会社ＫＹＯＴＡファクトリー,働き方改革推進支援助成金,1000000,2021-10-08
5496,3370003001278,合資会社内ケ崎酒造店,令和４年度中小企業等海外出願・侵害対策支援事業費補助金（中小企業等外国出願支援事業）［宮城県］,0,2022-07-13
5497,3370003001939,アメニティーサービス合同会社,働き方改革推進支援助成金,434000,2023-08-10
5498,3370003003704,プログレス合同会社,中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,255000,2021-04-15
5499,3370003003704,プログレス合同会社,中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,373000,2020-12-07
5500,3370003003869,おのでらファーム合同会社,米の直接支払交付金,1068750,2017-11-21
5501,3370005000138,公益社団法人みやぎ農業振興公社,公共牧場機能強化等体制整備事業,8250000,2022-06-03
5509,3370005000179,公益財団法人宮城県結核予防会,令和２年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,21500,2021-02-24
5508,3370005000179,公益財団法人宮城県結核予防会,令和２年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,53500,2021-02-24
5507,3370005000179,公益財団法人宮城県結核予防会,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,1000000,2021-03-25
5506,3370005000179,公益財団法人宮城県結核予防会,令和３年度（令和２年度からの繰越分）新型インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,601000,2021-06-10
5504,3370005000179,公益財団法人宮城県結核予防会,令和３年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,20500,2022-02-24
5503,3370005000179,公益財団法人宮城県結核予防会,令和３年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,48000,2022-02-24
5502,3370005000179,公益財団法人宮城県結核予防会,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5505,3370005000179,公益財団法人宮城県結核予防会,令和３年度（令和２年度からの繰越分）新型インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,5484000,2021-06-10
5510,3370005000187,一般財団法人広南会,令和２年度インフルエンザ流行期における新型コロナウイルス感染症疑い患者を受け入れる救急・周産期・小児医療機関体制確保事業補助金,12000000,2020-11-02
5511,3370005000633,東昌寺,国宝重要文化財文化財等保存整備事業,-204000,2019-09-02
5512,3370005000633,東昌寺,国宝重要文化財文化財等保存整備事業,2364000,2019-06-03
5514,3370005000740,宗教法人陸奥国分寺,国宝重要文化財文化財等保存整備事業,5189000,2021-04-01
5513,3370005000740,宗教法人陸奥国分寺,国宝重要文化財文化財等保存整備事業,1038000,2021-06-01
5515,3370005000740,宗教法人陸奥国分寺,国宝重要文化財文化財等保存整備事業,4043000,2019-04-01
5516,3370005000880,中央市場商業協同組合,令和元年度中小企業経営支援等対策費補助金（商店街にぎわい創出事業）（中央市場商業協同組合）,915000,2020-02-03
5517,3370005001177,医療法人大竹整形外科医院,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5518,3370005001219,医療法人広愛会松原医院,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,250000,2021-08-26
5519,3370005001227,医療法人香木会伊藤病院,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,100000,2022-03-30
5520,3370005001235,医療法人社団人愛会石川内科,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業実施医療機関支援事業）,229000,2023-03-20
5521,3370005001235,医療法人社団人愛会石川内科,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5522,3370005001235,医療法人社団人愛会石川内科,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,1000000,2021-07-25
5523,3370005001235,医療法人社団人愛会石川内科,令和３年度（令和２年度からの繰越分）新型インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,17949000,2021-06-10
5524,3370005001243,医療法人社団昭平会,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5526,3370005001276,医療法人社団丹野皮膚科,令和２年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,2500,2021-02-24
5525,3370005001276,医療法人社団丹野皮膚科,令和３年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,2500,2022-02-24
5527,3370005001326,医療法人社団福室クリニック,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5528,3370005001334,医療法人宮城野歯科医院,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-02-21
5529,3370005001334,医療法人宮城野歯科医院,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,250000,2021-10-15
5530,3370005001342,医療法人めときこどもクリニック,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5531,3370005001342,医療法人めときこどもクリニック,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,1000000,2021-08-26
5535,3370005001359,学校法人荒巻学園,教育支援体制整備事業費交付金（幼稚園の教育体制支援事業）,99000,2022-03-04
5532,3370005001359,学校法人荒巻学園,私立学校施設整備費補助金（私立幼稚園施設整備費）,15564000,2022-10-03
5533,3370005001359,学校法人荒巻学園,教育支援体制整備事業費交付金（幼稚園の教育体制支援事業）,325000,2022-09-01
5534,3370005001359,学校法人荒巻学園,教育支援体制整備事業費交付金（幼稚園の教育体制支援事業）,632000,2022-04-01
5536,3370005001359,学校法人荒巻学園,私立学校施設整備費補助金（私立幼稚園施設整備費）,3734000,2019-11-01
5538,3370005001417,学校法人沼田学園,教育支援体制整備事業費交付金（幼稚園の教育体制支援事業）,900000,2022-04-01
5537,3370005001417,学校法人沼田学園,教育支援体制整備事業費交付金（幼稚園の教育体制支援事業）,435000,2022-09-01
5558,3370005001433,学校法人宮城学院,私立高等学校等ＩＣＴ教育設備整備推進事業費,6287000,2019-09-02
5562,3370005001433,学校法人宮城学院,学生の満足度向上を目指した無線ＬＡＮ整備による双方向授業の推進,11503000,2017-03-01
5561,3370005001433,学校法人宮城学院,私立大学等教育研究活性化設備整備費補助金,2803000,2017-03-24
5560,3370005001433,学校法人宮城学院,私立高等学校等ＩＴ教育設備整備推進事業費,2259000,2017-09-01
5559,3370005001433,学校法人宮城学院,私立高等学校等ＩＴ教育設備整備推進事業費,12419000,2018-08-16
5556,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（学校再開に伴う感染症対策・学習保障等に係る支援事業）,1000000,2020-08-03
5555,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（感染症対策のためのマスク等購入支援事業）,63000,2020-11-17
5554,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（感染症対策のためのマスク等購入支援事業）,29000,2020-11-17
5553,3370005001433,学校法人宮城学院,私立学校建物其他災害復旧費補助金,6230000,2021-03-01
5552,3370005001433,学校法人宮城学院,遠隔授業活用推進事業,4917000,2021-03-16
5551,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（感染症対策等の学校教育活動継続支援事業）,400000,2021-07-01
5557,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（学校再開に伴う感染症対策・学習保障等に係る支援事業）,500000,2020-08-03
5549,3370005001433,学校法人宮城学院,私立大学等研究設備整備費等補助金（私立高等学校等ＩＣＴ教育設備整備推進事業費）,2655000,2021-09-01
5548,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（感染症対策等の学校教育活動継続支援事業）,50000,2021-11-17
5547,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（感染症対策等の学校教育活動継続支援事業）,100000,2021-11-17
5546,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（学校等における感染症対策等支援事業）,450000,2022-07-01
5545,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（学校等における感染症対策等支援事業）,900000,2022-07-01
5544,3370005001433,学校法人宮城学院,教育基盤設備,4895000,2023-01-16
5550,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（感染症対策等の学校教育活動継続支援事業）,800000,2021-07-01
5543,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（学校等における感染症対策等支援事業）,140000,2023-02-01
5542,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（学校等における感染症対策等支援事業）,70000,2023-02-01
5541,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（感染症流行下における学校教育活動体制整備事業）,225000,2023-07-03
5540,3370005001433,学校法人宮城学院,学校保健特別対策事業費補助金（感染症流行下における学校教育活動体制整備事業）,450000,2023-07-03
5539,3370005001433,学校法人宮城学院,防災機能等強化緊急特別推進事業,39875000,2023-07-18
5563,3370005001441,学校法人本松学園,私立幼稚園施設整備費,3906000,2017-03-16
5564,3370005001813,医療法人社団丸山アレルギークリニック,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-02-21
5565,3370005002241,医療法人社団回陽堂,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5566,3370005002241,医療法人社団回陽堂,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,701000,2022-03-03
5567,3370005002241,医療法人社団回陽堂,令和２年度新型インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,3920000,2021-02-25
5568,3370005002308,特定非営利活動法人とっておきの音楽祭,コロナ禍を乗り越えるための文化芸術活動の充実支援事業,6000000,2021-10-29
5569,3370005002332,社会福祉法人ぽっけコミュニティネットワーク,中小企業最低賃金引上げ支援対策費補助金（業務改善助成金）,1200000,2023-09-25
5570,3370005002407,医療法人尚真会たんのクリニック,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5571,3370005002407,医療法人尚真会たんのクリニック,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,2537000,2022-03-03
5572,3370005002407,医療法人尚真会たんのクリニック,令和２年度新型インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,3828000,2021-03-24
5573,3370005002407,医療法人尚真会たんのクリニック,令和２年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,3000,2021-02-24
5574,3370005002497,医療法人泉山会,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,303000,2022-03-16
5575,3370005002506,医療法人楽生会,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5576,3370005002522,医療法人社団長生会,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-03-30
5578,3370005002860,医療法人プレシャスケア,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,1000000,2021-06-23
5577,3370005002860,医療法人プレシャスケア,令和３年度（令和２年度からの繰越分）インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業実施医療機関支援事業）,2319000,2023-03-20
5579,3370005002860,医療法人プレシャスケア,令和２年度新型インフルエンザ流行期における発熱外来診療体制確保支援補助金（インフルエンザ流行期に備えた発熱患者の外来診療・検査体制確保事業）,1758000,2021-03-24
5581,3370005002885,医療法人恵尚会,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,1000000,2021-03-25
5580,3370005002885,医療法人恵尚会,令和２年度新型コロナウイルス感染症対応医療機関労災給付上乗せ補償保険加入支援事業補助金,4000,2021-03-31
5582,3370005002893,医療法人社団上桜木しんがい脳神経外科,令和３年度新型コロナウイルス感染症感染拡大防止継続支援補助金,80000,2022-02-21
5583,3370005002893,医療法人社団上桜木しんがい脳神経外科,令和２年度新型コロナウイルス感染症感染拡大防止・医療提供体制確保支援補助金,250000,2021-07-25
5595,3370005002919,農事組合法人新浜協業組合,経営所得安定対策,3748851,2015-05-22
5594,3370005002919,農事組合法人新浜協業組合,経営所得安定対策,291750,2015-12-08
5593,3370005002919,農事組合法人新浜協業組合,経営所得安定対策,17159556,2015-12-24
5592,3370005002919,農事組合法人新浜協業組合,経営所得安定対策,3078270,2016-01-15
5590,3370005002919,農事組合法人新浜協業組合,水田活用直接支払交付金,11009652,2021-12-08
5591,3370005002919,農事組合法人新浜協業組合,米の直接支払交付金,835500,2017-12-07
